Restaurant Restaurant ID,Restaurant Restaurant Name,Address,Post Code,Full Address,Latitude,Longitude,Weekly orders
162469,Starbucks - Avenida Europa Pozuelo,"Avenida de Europa, 11",28224,"Avenida de Europa, 11 28224 ",40.4382078,-3.7943604,39
206343,Tu Poke - Calle Rusia,"Calle Rusia, 8",28032,"Calle Rusia, 8 28032 ",40.4241229,-3.6095023,34
218008,Wok Arcentales,"Av. de Arcentales, 20,",28022,"Av. de Arcentales, 20, 28022 ",40.4341313,-3.6104228,34
219177,Chicago Style pizza,"Calle de San Emilio, 8",28017,"Calle de San Emilio, 8 28017 ",40.4292533,-3.6592425,29
230473,McDonald's - Pozuelo Hipercor,"Calle Rafael Botí, 4,",28023,"Calle Rafael Botí, 4, 28023 ",40.4632204,-3.8032163,38
230484,McDonald's - Majadahonda,"Av. de España, s/n,",28220,"Av. de España, s/n, 28220 ",40.4758096,-3.868745,34
242398,Pastelería Mallorca - Andes,"Av. de los Andes, 22, 28043 Madrid",28043,"Av. de los Andes, 22, 28043 Madrid 28043 ",40.4548552,-3.6206523,57
251559,KFC MADRID GOYA 68 - Activo,"Calle de Goya, 68,",28001,"Calle de Goya, 68, 28001 ",40.4247007,-3.6768511,36
79736,Goiko Grill - Pez,Calle del Pez 36,28004,Calle del Pez 36 28004 ,40.4242214,-3.7064435,35
81926,Maki - La Gavia,Avda Ensanche de Vallecas 18,28051,Avda Ensanche de Vallecas 18 28051 ,40.3692872,-3.6115285,32
108136,Jin Jin express (Rey Pato),"San bernardino, 1",28015,"San bernardino, 1 28015 ",40.4247869,-3.7098694,39
137110,The Burger Lobby - Boadilla del Monte,Av. Infante Don Luis 7 - Boadilla del Monte,28660,Av. Infante Don Luis 7 - Boadilla del Monte 28660 ,40.4068477,-3.8956434,40
187665,Pans & Company - PC Plenilunio,"calle aracne, 3,",28022,"calle aracne, 3, 28022 ",40.4469408,-3.5875084,26
247507,The Irish Temple - Moratalaz,"Avenida de Moratalaz 123,Posterior",28030,"Avenida de Moratalaz 123,Posterior 28030 ",40.4065442,-3.6498695,41
254642,Restaurante La Penela Moraleja,"Calle Estafeta, Plaza de la Fuente, nº2,",28109,"Calle Estafeta, Plaza de la Fuente, nº2, 28109 ",40.5143812,-3.6526794,18
26644,Goiko Grill - General Perón,Avenida del General Perón 16,28020,Avenida del General Perón 16 28020 ,40.4522305,-3.6968825,40
132840,TGB AVDA INFANTE DON LUIS 6 (BOADILLA DEL MONTE),Av. Infante Don Luis 6 - Boadilla del Monte,28660,Av. Infante Don Luis 6 - Boadilla del Monte 28660 ,40.4093287,-3.8951659,37
176624,Starbucks - C.C. Dreams. C/Silvano,"CC Dreams. C/Silvano, 77",28043,"CC Dreams. C/Silvano, 77 28043 ",40.4631976,-3.6373448,44
181558,Carl's Junior - Colón,"Calle de Goya, 5",28001,"Calle de Goya, 5 28001 ",40.4257494,-3.6889139,36
222566,McDonald's - Isaac Peral,Calle de Isaac Peral 4,28015,Calle de Isaac Peral 4 28015 ,40.4349613,-3.7180652,42
