name,priceRange,rating,reviewCount,postCode,Latitude,Longitude_x,Weekly orders,value
Tacos Don Manolito,$,4.5,9,28003.0,40.44498660000001,-3.6988992,6,40.5
Cerveceria Restaurante La Fabrica,,4.0,5,28031.0,40.3690139,-3.5990357000000004,50,20.0
Doner Kebab Avrasya,,4.5,5,28015.0,40.4256715,-3.7073747999999997,2,22.5
Ital Panini,$,3.5,22,28015.0,40.435391100000004,-3.7169087999999997,7,77.0
La Prensa,$,3.5,41,28004.0,40.4210035,-3.7053557,4,143.5
La Panerie Cafe,$,3.5,14,28028.0,40.4362656,-3.6765487,5,49.0
Nuevo Trapio,$,4.5,6,28028.0,40.429613700000004,-3.6648232000000003,3,27.0
Pepito Grillo Cafe,,4.5,6,28004.0,40.421756,-3.6991428,42,27.0
Mezzo Di Pasta C C Isla Azul,,4.0,6,28054.0,40.3637278,-3.7374791,141,24.0
Roble Bar,$$ - $$$,4.5,6,28005.0,40.4139221,-3.7075995,23,27.0
Restaurant IKEA,$,3.5,44,28051.0,40.3690139,-3.5990357000000004,50,154.0
Antigua Taqueria,$,3.5,54,28012.0,40.4094889,-3.7042763,72,189.0
La picarona de Castello,$$ - $$$,4.0,9,28001.0,40.4225234,-3.6818324999999996,3,36.0
Kilometros de Pizza Expression La Vaguada,$$ - $$$,4.5,4,28029.0,40.4800101,-3.7074566,22,18.0
Taberna La Imperial,$$ - $$$,3.5,56,28004.0,40.4220473,-3.6975538,14,196.0
Le Coq,$$ - $$$,3.5,9,28006.0,40.437542,-3.6865379000000003,21,31.5
La Pinata,$,4.0,9,28034.0,40.4815403,-3.7122845,5,36.0
Restaurante Jaleo,$$ - $$$,4.0,18,28006.0,40.4344663,-3.6767451,14,72.0
Pizza Marzano - Serrano,$$ - $$$,3.5,11,28001.0,40.4289468,-3.6875354,462,38.5
Asia He,$$ - $$$,4.0,23,28003.0,40.44011,-3.7166839999999994,2,92.0
Mejor Sabra,$$ - $$$,4.5,4,28007.0,40.4176959,-3.6663943,1,18.0
KFC Plenilunio,$,3.5,21,28022.0,40.446969,-3.587343,34,73.5
Larrun,,4.0,6,28050.0,40.4961792,-3.6740163999999997,12,24.0
Pryce Cafe,$$ - $$$,3.5,23,28005.0,40.4016859,-3.7083480000000004,30,80.5
McDonald's,$,3.5,102,28012.0,40.4163611,-3.7049218999999995,13,357.0
El Sobrino Del,$$ - $$$,4.0,8,28005.0,40.414176899999994,-3.7079546999999997,1,32.0
Maki Castellana,$$ - $$$,3.0,96,28046.0,40.44997670000001,-3.6916086999999997,54,288.0
Sabor Y Sazon Venezolano 2.0,$,5.0,7,28039.0,40.4551544,-3.703563,2,35.0
Nano El Mexicano 2,$$ - $$$,4.0,5,28003.0,40.443993299999995,-3.69826,222,20.0
Cafeteria Acacias,,4.5,4,28005.0,40.402007700000006,-3.7122362,2,18.0
Tepizzare Gourmet Food,,3.5,11,28014.0,40.4153273,-3.6989214,5,38.5
Sushi Store Restaurant,$$ - $$$,3.0,146,28013.0,40.4190463,-3.6980245000000003,30,438.0
Caparra Cerveceria,,4.0,10,28033.0,40.463644099999996,-3.6582022000000003,7,40.0
Bentleys Castellana,$$ - $$$,3.5,51,28046.0,40.4505732,-3.6902007000000006,12,178.5
La Casa del Mofongo,$$ - $$$,3.5,25,28020.0,40.451760799999995,-3.7022461000000004,4,87.5
Dogos's Grill,$,4.5,3,28022.0,40.439437299999994,-3.6140684000000003,3,13.5
Chill Restaurante,,4.0,6,28002.0,40.4486023,-3.6727943,2,24.0
DDiego,$$ - $$$,3.5,25,28027.0,40.4446941,-3.6539904,4,87.5
Sushi Bar,,4.0,11,28013.0,40.4162046,-3.7085457,19,44.0
Lacueva de 1900,$$ - $$$,3.5,24,28008.0,40.4254601,-3.7131483999999997,1,84.0
Doner Kebab,$,3.5,18,28009.0,40.41695670000001,-3.6733352,7,63.0
La Villa Luciano,,4.0,6,28004.0,40.429432500000004,-3.7031354,16,24.0
Loco Polo,$,4.5,4,28004.0,40.4228486,-3.7006474999999996,2,18.0
El Cortijo,$$ - $$$,3.5,16,28053.0,40.395266,-3.6648788,2,56.0
La Taberna de Chana - Vicalvaro,$$ - $$$,3.5,76,28032.0,40.398679,-3.6076287000000002,6,266.0
Maison Kayser Madrid,$$ - $$$,4.5,3,28006.0,40.4369956,-3.6829321000000004,41,13.5
Distrito Ceviche S.L,$$ - $$$,4.5,3,28008.0,40.4324056,-3.7177512999999998,#DIV/0!,13.5
Alice pizza Madrid,$,5.0,8,28026.0,40.3908753,-3.7014217000000005,18,40.0
santo y sena,$$ - $$$,4.0,20,28036.0,40.4598431,-3.6881559,18,80.0
