name,priceRange,rating,reviewCount,postCode,Latitude,Longitude_x,value
Zenith Brunch & Cocktails,$$ - $$$,4.5,764,28004.0,40.422371000000005,-3.7016131000000003,3438.0
Restaurante Etimo by Begona Fraire,$$$$,4.5,799,28001.0,40.427881400000004,-3.6846091,3595.5
Malafemmena,$$ - $$$,4.5,443,28028.0,40.4264227,-3.6683001,1993.5
Salmon Guru,$$ - $$$,4.5,511,28014.0,40.414893299999996,-3.6995169999999997,2299.5
Lumbini Tandoori,$$ - $$$,5.0,150,28020.0,40.45303870000001,-3.6883337,750.0
MU! El Placer de la Carne,$$ - $$$,5.0,699,28012.0,40.415738700000006,-3.701754,3495.0
Lola & Co,$$ - $$$,4.0,348,28004.0,40.4226216,-3.6964812999999994,1392.0
Mu! El Placer De La Carne,$$ - $$$,4.5,2493,28013.0,40.419497899999996,-3.7040549,11218.5
Toga,$$ - $$$,4.5,867,28012.0,40.4110379,-3.7066464,3901.5
El Sur de Huertas,$$ - $$$,4.5,1617,28014.0,40.4136527,-3.6994712999999995,7276.5
Pampa Beef,$,4.5,761,28014.0,40.4163195,-3.7003197999999995,3424.5
Los Desamparados,$$ - $$$,5.0,120,28014.0,40.411431799999995,-3.6966400999999998,600.0
Taberna Zalamero,$$ - $$$,4.5,72,28009.0,40.4162653,-3.6760900000000003,324.0
Borax,$$ - $$$,4.5,357,28004.0,40.4228796,-3.6983477999999996,1606.5
Burnout,$$ - $$$,4.5,1176,28004.0,40.4208015,-3.7019961,5292.0
Taman,$$ - $$$,5.0,133,28005.0,40.4133144,-3.7122278,665.0
Davanti Food & Market,$$ - $$$,4.5,315,28004.0,40.422104600000004,-3.6968362,1417.5
Cacao Restobar,$$ - $$$,4.5,1550,28014.0,40.4124403,-3.6969606,6975.0
Sublime Dreams Food - Hernani,$$ - $$$,4.5,181,28020.0,40.44815070000001,-3.7001424,814.5
GastroVia 61,$$ - $$$,4.5,1201,28013.0,40.422120899999996,-3.7095924,5404.5
El Perolo,$$ - $$$,5.0,4,28023.0,40.4668581,-3.8142951000000003,20.0
Rosi La Loca,$$ - $$$,4.5,6607,28012.0,40.415723299999996,-3.7028903,29731.5
La Levantera,$$ - $$$,5.0,407,28009.0,40.4247649,-3.6721527999999997,2035.0
La Piramide,$$ - $$$,4.5,198,28034.0,40.4898696,-3.6881253,891.0
El miniBAR,$,4.5,2256,28013.0,40.4163158,-3.7092141000000005,10152.0
Enklima,$$ - $$$,4.5,197,28008.0,40.4262536,-3.7169152999999997,886.5
Cherry Pecas,$,4.5,1083,28003.0,40.4410681,-3.7153887,4873.5
Taberna El Callejon,$$ - $$$,4.5,232,28042.0,40.472767299999994,-3.5825888,1044.0
La MaMa Restaurante,$$ - $$$,4.5,177,28003.0,40.4444675,-3.6966967000000004,796.5
Angelita Madrid,$$ - $$$,4.5,697,28004.0,40.4205941,-3.700775,3136.5
Origen Taberna,$$ - $$$,4.5,1381,28008.0,40.426654799999994,-3.7161817000000004,6214.5
El Kiosko- Pinar de Chamartin,$$ - $$$,3.5,23,28033.0,40.4765457,-3.6719757000000004,80.5
La Bistroteca,$$ - $$$,4.5,590,28001.0,40.4243352,-3.6790824,2655.0
The Market Madrid,$$ - $$$,4.5,463,28002.0,40.44923,-3.6770099999999997,2083.5
Metro Bistro - Plaza Mayor,$$ - $$$,4.5,1729,28012.0,40.4145342,-3.7067257000000007,7780.5
Mawey Taco Bar - Gran Via,$$ - $$$,4.5,284,28013.0,40.4210653,-3.7084064,1278.0
LOS GRIFOS Craft Beers,$$ - $$$,4.5,219,28004.0,40.4286721,-3.7053182999999996,985.5
Nebak Jatetxea Madrid,$$$$,5.0,88,28014.0,40.416820200000004,-3.6970832000000002,440.0
Arbonaida Bar,$$ - $$$,4.5,140,28013.0,40.4164683,-3.7107688999999997,630.0
La Pizzateca,$,4.5,991,28014.0,40.412729399999996,-3.6992718,4459.5
La Cabana Argentina,$$ - $$$,4.5,2128,28014.0,40.4156556,-3.698985,9576.0
Kuoco 360 food,$$ - $$$,4.5,760,28004.0,40.4219287,-3.6983317,3420.0
Tacos & Tapas,$$ - $$$,4.5,711,28005.0,40.41249620000001,-3.7124735,3199.5
Everest Tandoori Nepali-Indian Restaurant,$$ - $$$,4.5,945,28043.0,40.464192499999996,-3.6495095,4252.5
Ablanedo,$$ - $$$,4.5,175,28008.0,40.428917999999996,-3.7178252,787.5
Valdivieso Cocina Con Alma,$$ - $$$,4.5,375,28012.0,40.404999600000004,-3.6987141,1687.5
Adrede,$$ - $$$,4.5,196,28014.0,40.4172355,-3.6900857000000005,882.0
La Taberna de Mister Pinkleton,$$ - $$$,4.5,884,28005.0,40.4145441,-3.7079542,3978.0
KiraKira,$$$$,4.5,170,28010.0,40.4304472,-3.6945366,765.0
Chiquito Riz,$$ - $$$,4.0,289,28028.0,40.43721,-3.6757232,1156.0
The Spanish Farm,$$ - $$$,4.5,425,28014.0,40.4111064,-3.6911267,1912.5
Restaurante La Malontina,$$ - $$$,4.5,2080,28014.0,40.411806799999994,-3.6954267,9360.0
Gandario,$,4.5,546,28015.0,40.4345526,-3.715433,2457.0
El Sitio,$,4.5,222,28015.0,40.4354109,-3.7175474000000004,999.0
Coque,$$$$,4.5,349,28010.0,40.430682,-3.6904510000000004,1570.5
Camino Sacramento,$$ - $$$,4.5,253,28013.0,40.419334899999996,-3.7051102,1138.5
Kausa Madrid,$$ - $$$,4.5,362,28012.0,40.412811,-3.6983379999999997,1629.0
Sabe a Gloria,$$ - $$$,4.5,593,28014.0,40.41333529999999,-3.6966472,2668.5
Meson Molinero,$$ - $$$,4.5,341,28047.0,40.397381700000004,-3.7442826,1534.5
Ramon Freixa Madrid,$$$$,4.5,939,28001.0,40.428461600000006,-3.6862108,4225.5
SUKALDEA ATOTXA Madrid,$,4.5,173,28012.0,40.4089375,-3.6929184,778.5
Mercado Jamon Iberico,$$ - $$$,4.5,152,28013.0,40.4154106,-3.7116417999999998,684.0
Lune Creperie,$,5.0,40,28045.0,40.394448499999996,-3.6968282999999995,200.0
La Pinta y la Vina,$$ - $$$,4.5,160,28020.0,40.4598365,-3.6971475,720.0
Pizzeria Fratelli,$$ - $$$,4.5,262,28024.0,40.389535200000005,-3.7604067000000003,1179.0
Gato Gato,$$ - $$$,4.5,102,28012.0,40.4102042,-3.6962318,459.0
DiverXO,$$$$,4.5,2021,28036.0,40.4583783,-3.6859762000000003,9094.5
Corral de la Moreria,$$$$,4.5,1112,28005.0,40.4126847,-3.7141641000000005,5004.0
El Rincon del Cabo,$$ - $$$,4.5,366,28012.0,40.4116598,-3.7030686,1647.0
RECREO Espartinas,$$ - $$$,4.5,320,28001.0,40.4244215,-3.6793077000000003,1440.0
Restaurante Solidere,$$ - $$$,4.0,372,28002.0,40.4521714,-3.6676492,1488.0
Brew Wild Pizza Bar,$$ - $$$,4.5,341,28014.0,40.414828299999996,-3.6995072,1534.5
Divino Tinto,$$ - $$$,4.5,228,28045.0,40.3918382,-3.6914477,1026.0
Tinto y Tapas San Pedro,$,4.5,247,28014.0,40.4113081,-3.6949075,1111.5
SottoSopra,$$$$,3.5,109,28001.0,40.4233496,-3.6863163,381.5
Bar Selva,$,4.5,171,28015.0,40.4235658,-3.7085668,769.5
Esplore Clavel,$$ - $$$,4.5,299,28004.0,40.4203034,-3.6995193,1345.5
Restaurante Las Carboneras de Lu,$$$$,4.5,298,28001.0,40.421265000000005,-3.6901571000000004,1341.0
Vinos de Bellota,$$ - $$$,4.5,855,28009.0,40.4207494,-3.6788635000000003,3847.5
Gastromaquia,$$ - $$$,4.5,1256,28004.0,40.421903,-3.699039,5652.0
Cerveceria La Mayor,$$ - $$$,4.5,396,28005.0,40.415009999999995,-3.71204,1782.0
Vila Brasil,$$ - $$$,4.5,178,28009.0,40.4179344,-3.6723769999999996,801.0
Restaurante Campanillas,$,4.5,321,28042.0,40.4726713,-3.5815977999999995,1444.5
Me gustas MXO,$$ - $$$,4.5,343,28005.0,40.4142815,-3.7121766000000003,1543.5
Steakburger Preciados,$$ - $$$,4.5,870,28013.0,40.4198118,-3.7072621,3915.0
Casa Jaguar Madrid,$$ - $$$,4.5,641,28013.0,40.419104499999996,-3.7086485000000002,2884.5
Fortuny Restaurant & Club,$$ - $$$,3.5,415,28010.0,40.434579,-3.6899589999999995,1452.5
Cilindro,$$ - $$$,4.5,291,28006.0,40.428771600000005,-3.6747232000000003,1309.5
AlliOli Valencian Food,$,4.5,207,28005.0,40.408079,-3.7084945,931.5
Glass Mar,$$$$,4.5,267,28014.0,40.4162409,-3.6986966,1201.5
Real Talent Cafe,$,5.0,401,28013.0,40.4168213,-3.7103169,2005.0
Fogg Bar,$$ - $$$,4.5,262,28007.0,40.403983600000004,-3.6778333,1179.0
Gaytan,$$$$,4.5,210,28002.0,40.449714799999995,-3.6785267,945.0
Alcaravea Gaztambide,$$ - $$$,4.5,565,28015.0,40.4381523,-3.7151692,2542.5
Purnima Indian Restaurant,$$ - $$$,4.5,896,28009.0,40.424360899999996,-3.6700496,4032.0
Decadente,$$ - $$$,4.5,369,28014.0,40.4151568,-3.6995693999999997,1660.5
El Jardin del InterContinental,$$$$,4.5,304,28046.0,40.4363277,-3.6902269,1368.0
Restaurante El Flaco,$$ - $$$,4.5,426,28002.0,40.4482227,-3.6704445,1917.0
Restaurante Rias Bajas,$$ - $$$,4.5,648,28002.0,40.442504299999996,-3.6712385999999997,2916.0
Restaurante de Sichuan,$$ - $$$,4.5,266,28013.0,40.419408000000004,-3.7010172999999997,1197.0
Cafeteria Neila,$,4.5,114,28014.0,40.412692299999996,-3.6958983,513.0
Antigua Casa de la Paella,$$$$,4.5,243,28005.0,40.4139597,-3.708676,1093.5
Dogma,$$$$,4.5,284,28016.0,40.45888,-3.6801909,1278.0
La Portuguesa Taberna,$$ - $$$,4.5,150,28008.0,40.4266367,-3.7166803,675.0
Asador Nuevo Porche,$$ - $$$,4.5,287,28042.0,40.4709229,-3.5826144,1291.5
Alright,$$ - $$$,4.5,1653,28029.0,40.483321999999994,-3.699611,7438.5
Restaurante Ordago,$$ - $$$,4.5,221,28028.0,40.4317055,-3.6629896,994.5
BLoved,$$ - $$$,4.5,412,28013.0,40.4194705,-3.6990858999999996,1854.0
Restaurante La Tena,$$ - $$$,4.5,437,28029.0,40.482428000000006,-3.701146,1966.5
Bahia Taberna,$$ - $$$,4.5,1239,28042.0,40.4635064,-3.5923601,5575.5
Restaurante La Gaditana,$$ - $$$,4.5,932,28009.0,40.4250832,-3.6707894999999997,4194.0
Amicis,$$ - $$$,4.5,817,28005.0,40.414919,-3.7094703,3676.5
Shalakabula,$$ - $$$,4.5,664,28006.0,40.428470399999995,-3.6748222000000004,2988.0
Domo Abascal,$$ - $$$,4.5,262,28003.0,40.4384941,-3.6952104,1179.0
Sr.Ito,$$ - $$$,4.5,793,28004.0,40.4241058,-3.6973803999999997,3568.5
Casa Jacinto,$$ - $$$,4.5,222,28013.0,40.421963399999996,-3.7116867999999994,999.0
Taberna & Media,$$ - $$$,4.5,267,28009.0,40.4208051,-3.6777343,1201.5
Clos Madrid,$$$$,4.5,255,28003.0,40.4459964,-3.6995441,1147.5
niMU Barquillo,$$ - $$$,4.5,780,28004.0,40.4239319,-3.6954747,3510.0
Dans Le Noir ?,$$$$,4.5,328,28013.0,40.415901399999996,-3.7115329,1476.0
Piccola Napoli,$,4.5,451,28020.0,40.4498407,-3.7013861000000006,2029.5
El Camoati,$$ - $$$,4.5,519,28005.0,40.413332200000006,-3.7124194999999998,2335.5
Pajaritos Mojados,$,4.5,317,28005.0,40.4105277,-3.7102306000000005,1426.5
El Alambique Taberna,$,4.5,331,28014.0,40.4117602,-3.6955687999999993,1489.5
La Manduca de Azagra,$$$$,4.5,624,28004.0,40.42822279999999,-3.6997011,2808.0
Alcaravea castello,$$ - $$$,4.5,222,28006.0,40.4321625,-3.6810656,999.0
DSTAGE,$$$$,4.5,2118,28004.0,40.4246823,-3.6962855,9531.0
Taberna la Concha,$$ - $$$,4.5,1235,28005.0,40.4131907,-3.7083581,5557.5
Paco Roncero Restaurante,$$$$,4.5,621,28014.0,40.417865,-3.7004722,2794.5
Restaurante Alabaster,$$$$,4.5,968,28014.0,40.4182549,-3.6898004999999996,4356.0
Arrayan,$$$$,4.5,250,28001.0,40.4212387,-3.689716,1125.0
Pasta Mito,$$ - $$$,4.5,216,28016.0,40.457395,-3.6782607000000005,972.0
Sublime Tokyo Madrid,$$ - $$$,4.5,442,28013.0,40.4198041,-3.7082696000000004,1989.0
La Paloma,$$$$,4.5,244,28001.0,40.4238253,-3.6821523000000003,1098.0
H10-Bar,$$ - $$$,4.5,1188,28012.0,40.413927799999996,-3.7008191,5346.0
La Sifoneria,$$ - $$$,4.5,440,28008.0,40.4256774,-3.7147435,1980.0
Trattoria Malatesta,$$ - $$$,4.5,2015,28013.0,40.4165487,-3.7070676,9067.5
Che Pibita,$$ - $$$,4.5,247,28003.0,40.4438919,-3.6957091,1111.5
Sublime Dreams Food - Plaza Mayor,$$ - $$$,4.5,905,28012.0,40.4137838,-3.7070661,4072.5
La Chamana,$$ - $$$,4.5,296,28013.0,40.4191223,-3.7069769,1332.0
Zalacain,$$$$,4.5,557,28006.0,40.4389663,-3.6888656,2506.5
Restaurante Saraiba,$$ - $$$,4.0,182,28009.0,40.42279,-3.67847,728.0
Charrua Madrid,$$$$,4.5,169,28004.0,40.4223076,-3.6940776,760.5
La Berenjena,$$ - $$$,4.5,894,28012.0,40.4100239,-3.6960625,4023.0
Restaurante Marina Ventura,$$ - $$$,4.5,1160,28014.0,40.4153939,-3.6988751000000004,5220.0
Arahy,$$$$,4.5,443,28014.0,40.4196157,-3.6897309000000003,1993.5
Casa Lucas,$$ - $$$,4.5,1303,28005.0,40.412369299999995,-3.7094301,5863.5
Restaurante PAIPAI,$$ - $$$,4.5,682,28016.0,40.460144899999996,-3.6760108,3069.0
Sibuya Urban Sushi Bar Chueca,$$ - $$$,4.5,331,28004.0,40.423748100000005,-3.6950733999999996,1489.5
Tori-Key,$$ - $$$,4.5,292,28003.0,40.440977600000004,-3.7004265,1314.0
Naomi,$$ - $$$,4.5,737,28020.0,40.4526218,-3.7006153,3316.5
Cinco Jotas Serrano,$$ - $$$,4.5,382,28006.0,40.4361726,-3.6861589,1719.0
Taberna Degusta,$$ - $$$,4.5,417,28028.0,40.436810799999996,-3.6772576,1876.5
Atico Restaurant,$$$$,4.5,1040,28004.0,40.4192971,-3.6971974999999997,4680.0
La Terraza del Indigo,$$ - $$$,4.0,222,28013.0,40.4206372,-3.7073050000000003,888.0
La Terraza de Oscar,$$$$,4.5,1031,28004.0,40.420582700000004,-3.6990263,4639.5
Los Porfiados,$$ - $$$,4.5,463,28012.0,40.4101689,-3.6989957,2083.5
Saisho,$$ - $$$,5.0,117,28008.0,40.4257027,-3.7165466,585.0
MAWEY Taco Bar - Olid,$$ - $$$,4.5,255,28010.0,40.4317142,-3.7023687000000005,1147.5
Eccolo,$$ - $$$,4.5,116,28012.0,40.4090723,-3.7056485,522.0
Casa Toni,$,4.5,703,28012.0,40.41555220000001,-3.7018627,3163.5
De Maria - Calle Hortaleza,$$ - $$$,4.5,390,28004.0,40.425994,-3.6973803999999997,1755.0
Verdejo,$$ - $$$,4.5,354,28001.0,40.424313399999996,-3.6792993999999997,1593.0
Dolores y Lola,$$ - $$$,4.5,232,28004.0,40.429021999999996,-3.7049417,1044.0
Asador Avelino,$$ - $$$,4.5,286,28044.0,40.3720984,-3.7548766000000002,1287.0
Bambubox,$$ - $$$,4.5,711,28004.0,40.4205295,-3.699511,3199.5
El Pedrusco de Aldealcorvo,$$ - $$$,4.5,202,28010.0,40.4339764,-3.7000788,909.0
Miyama,$$$$,4.5,779,28046.0,40.4356778,-3.6896583,3505.5
Nakeima Dumpling Bar,$$ - $$$,4.5,495,28015.0,40.4331557,-3.7153019,2227.5
Hortensio,$$$$,4.5,262,28010.0,40.4307655,-3.6915801,1179.0
Restaurante Tres Bocas,$$ - $$$,4.5,509,28015.0,40.4312599,-3.7158601000000004,2290.5
Havana Blues,$,4.5,300,28045.0,40.402184999999996,-3.6985230000000002,1350.0
El Rey de los Tacos,$,4.5,392,28013.0,40.419405700000006,-3.7096258,1764.0
Tinto y Tapas,$,4.5,1259,28014.0,40.4110204,-3.6943769,5665.5
El Lando,$$$$,4.5,466,28005.0,40.4118307,-3.7150013,2097.0
El Club Allard,$$$$,4.5,1817,28008.0,40.4232972,-3.7142785000000003,8176.5
Bangalore Modern Indian Cuisine,$$ - $$$,4.5,447,28006.0,40.434783200000005,-3.675674,2011.5
La monteria,$$ - $$$,4.5,652,28009.0,40.420282799999995,-3.6775333,2934.0
Alimentacion Quiroga,$$ - $$$,4.5,296,28014.0,40.413790399999996,-3.6994446000000005,1332.0
Tampu,$$ - $$$,4.5,471,28004.0,40.4220323,-3.6935259,2119.5
Tras os montes,$$$$,4.5,314,28035.0,40.491246000000004,-3.7220334000000004,1413.0
Los Chuchis Bar,$,4.5,315,28012.0,40.4072782,-3.7010845999999997,1417.5
Ferreteria by EGO,$$ - $$$,4.5,256,28012.0,40.4128155,-3.699726,1152.0
El Sainete,$$ - $$$,4.5,332,28010.0,40.4371984,-3.6990749,1494.0
99 Sushi Bar,$$$$,4.5,528,28001.0,40.4264441,-3.6887644,2376.0
B13,$,4.5,318,28004.0,40.4219115,-3.7034925000000003,1431.0
Restaurante Sal Negra,$$ - $$$,4.5,520,28036.0,40.463933000000004,-3.6822023999999995,2340.0
La Castela,$$ - $$$,4.5,1113,,40.42020170000001,-3.6767041,5008.5
Punto Vegano,$$ - $$$,4.5,207,28008.0,40.424834000000004,-3.7157432999999997,931.5
La Malinche,$$ - $$$,4.5,197,28013.0,40.4208455,-3.7101497,886.5
De Maria- Calle Felix Boix,$$$$,4.5,773,28036.0,40.4634777,-3.688215,3478.5
Santceloni,$$$$,4.5,609,28046.0,40.438858200000006,-3.6915129,2740.5
El Arquibar,$$ - $$$,4.5,161,28015.0,40.4258284,-3.7099865,724.5
Ornella,$$ - $$$,4.0,771,28001.0,40.4233891,-3.6839949,3084.0
Taberna Laredo,$$ - $$$,4.5,715,28009.0,40.420154499999995,-3.6751297,3217.5
La Taberna del Colono,$$ - $$$,4.5,314,28004.0,40.4288396,-3.7036564,1413.0
La Hummuseria,$$ - $$$,4.5,598,28004.0,40.423323100000005,-3.6999932,2691.0
Bee Beer,$$ - $$$,4.5,131,28004.0,40.421978,-3.6969199999999995,589.5
Orso Matto Piadinas y Mas Que Comer,$,4.5,197,28015.0,40.4339761,-3.7159437999999994,886.5
Pizzie & Dixie,$$ - $$$,4.5,193,,40.4258315,-3.7028065000000003,868.5
El Alino,$$ - $$$,4.5,264,28010.0,40.4339874,-3.6907739,1188.0
Taberna Maldeamores,$$ - $$$,4.5,226,28004.0,40.4223268,-3.6965797,1017.0
Gioia,$$ - $$$,4.5,311,28004.0,40.4221487,-3.6984097,1399.5
Taberna Almeria,$,4.5,216,28005.0,40.4108844,-3.7124007000000003,972.0
Piccola Trattoria,$$ - $$$,4.5,274,28012.0,40.410604600000006,-3.6993845000000003,1233.0
Dantxari,$$ - $$$,4.5,692,28008.0,40.425551399999996,-3.7140207000000003,3114.0
Maruzzella,$$ - $$$,4.0,395,28003.0,40.4459964,-3.6995441,1580.0
Casa Benigna,$$$$,4.5,854,28002.0,40.448179100000004,-3.674327,3843.0
Cedron Wine Bar,$$ - $$$,5.0,85,28005.0,40.412166,-3.7105932,425.0
Parrilla El Gaucho,$$ - $$$,4.5,955,28013.0,40.4181508,-3.7030388999999997,4297.5
99 Sushi Bar - Padre Damian,$$$$,4.5,495,28036.0,40.4583783,-3.6859762000000003,2227.5
Latasia,$$ - $$$,4.5,407,28046.0,40.4568711,-3.6908903,1831.5
DokiDoki,$$ - $$$,4.5,889,28001.0,40.421046399999994,-3.6898089,4000.5
Vinoteca Garcia de la Navarra,$$ - $$$,4.5,520,28014.0,40.4182794,-3.6910379,2340.0
A’Barra,$$$$,4.5,465,28006.0,40.4386879,-3.6878784,2092.5
Deli Peppe,$,5.0,38,28027.0,40.43318729999999,-3.6570165,190.0
Maye's Bistro Las Tablas,$$ - $$$,4.5,277,28050.0,40.5068314,-3.6644803,1246.5
San Mateo Circus,$$ - $$$,4.5,173,28004.0,40.4250476,-3.7001177000000003,778.5
El mirador del Goloso,$$ - $$$,4.5,372,28760.0,40.61230629999999,-3.7235095,1674.0
Villoldo,$$ - $$$,4.5,211,28006.0,40.4366943,-3.6841644999999996,949.5
La Rotonda,$$$$,4.5,486,28014.0,40.415423100000005,-3.695585,2187.0
Alma Cheli,$$ - $$$,4.5,578,28010.0,40.4370549,-3.6998687000000006,2601.0
Ondinas Do Mendo,$,4.5,277,28039.0,40.45681810000001,-3.7050012000000003,1246.5
La Musa,$$ - $$$,4.5,1136,28004.0,40.4288009,-3.7044443,5112.0
O'pulpo,$$ - $$$,4.5,303,28012.0,40.412822600000005,-3.7018101000000003,1363.5
Taberna del Chato,$$ - $$$,4.5,1736,28012.0,40.4160154,-3.7012053999999996,7812.0
Vega,$$ - $$$,4.5,824,28004.0,40.4223334,-3.7061366000000002,3708.0
Nina Pastabar,$$ - $$$,4.5,111,28005.0,40.409499100000005,-3.7088364,499.5
El Cogollo de la Descarga,$$ - $$$,4.5,640,28013.0,40.416999600000004,-3.7081468,2880.0
Art & Sushi,$$ - $$$,4.5,235,28004.0,40.428774600000004,-3.7021226,1057.5
El Rincon de Esteban,$$ - $$$,4.5,1247,28014.0,40.415863,-3.6975762000000003,5611.5
Jauja Cafe,$$ - $$$,4.5,109,28012.0,40.4107287,-3.7063688999999997,490.5
Restaurante El Guero,$$ - $$$,4.5,312,28043.0,40.465906700000005,-3.6359809000000003,1404.0
Macera TallerBar,$$ - $$$,4.5,323,28004.0,40.4261969,-3.6981830999999996,1453.5
Pizzeria el Trebol,$$ - $$$,4.5,118,28012.0,40.415108200000006,-3.7024904999999997,531.0
Kabuki,$$$$,4.5,695,28020.0,40.4532044,-3.6968553,3127.5
Umiko,$$ - $$$,4.5,446,28014.0,40.4175529,-3.6972072,2007.0
La Cecilia de Allende,$$ - $$$,4.5,401,28016.0,40.45888,-3.6801909,1804.5
Kabuki Wellington,$$$$,4.5,922,28001.0,40.421823100000005,-3.6841896,4149.0
Restaurante lakasa,$$ - $$$,4.5,1073,28003.0,40.4409785,-3.7007991999999996,4828.5
La Ancha,$$ - $$$,4.5,492,28002.0,40.449513399999994,-3.6774818999999996,2214.0
Carta Marina,$$$$,4.5,309,28036.0,40.4583975,-3.6853362,1390.5
El Buey,$$ - $$$,4.5,310,28013.0,40.42064439999999,-3.711294,1395.0
Abaceria Tapas Lambuzo Conchas,$$ - $$$,4.5,433,28013.0,40.4188211,-3.7080854,1948.5
Casa Pedro,$$ - $$$,4.5,290,28034.0,40.4974657,-3.6870351,1305.0
Ouh...Babbo!,$$ - $$$,4.5,610,28013.0,40.418637200000006,-3.7088252,2745.0
Charnela,$$ - $$$,4.5,99,28010.0,40.4373009,-3.6993321000000003,445.5
Sol Azteca,$$ - $$$,4.5,314,28006.0,40.4319213,-3.6782117999999997,1413.0
Le Comptoir de la Crepe,$$ - $$$,4.5,651,28014.0,40.4129771,-3.6958034,2929.5
Roostiq,$$ - $$$,4.5,340,28004.0,40.4220131,-3.6963391000000003,1530.0
Paperboy Perrito Bar,$,4.5,280,28020.0,40.429975799999994,-3.7012155,1260.0
