name,priceRange,rating,reviewCount,address,postCode,locality,url
Restaurante El Inca,$$ - $$$,3.5,232,Calle Gravina 23,28004,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d990795-Reviews-Restaurante_El_Inca-Madrid.html
Samara,$,3.5,142,Calle Cardenal Cisneros 15 28010 Madrid,28010,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d779194-Reviews-Samara-Madrid.html
La Terraza del Indigo,$$ - $$$,4.0,222,Calle Silva 6 Localizado entre la Gran Vía y la Plaza de Santo Domingo,28013,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d10691558-Reviews-La_Terraza_del_Indigo-Madrid.html
El Kiosko- Pinar de Chamartin,$$ - $$$,3.5,23,Calle Yerma 10 Junto al Centro Empresarial Parque Norte y Frente al Vips,28033,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d16801710-Reviews-El_Kiosko_Pinar_de_Chamartin-Madrid.html
Craft Against the Machine,$$ - $$$,4.5,38,Calle Embajadores 31,28012,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d12717294-Reviews-Craft_Against_the_Machine-Madrid.html
Kitschy Pasteleria,,4.5,15,Calle Ventura Rodriguez 3,28008,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d15347826-Reviews-Kitschy_Pasteleria-Madrid.html
Super Pop Bar,$$ - $$$,4.5,44,Calle de Jesus del Valle 31,28004,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d7284933-Reviews-Super_Pop_Bar-Madrid.html
Sakai,$$ - $$$,4.5,14,Calle de Aragon 8,28002,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d18187207-Reviews-Sakai-Madrid.html
Santo Mauro Restaurant,$$$$,4.0,88,Calle Zurbano 36,28010,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d988111-Reviews-Santo_Mauro_Restaurant-Madrid.html
Las Bravas,$,3.5,712,"Pasaje de Matheu, 5",28012,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d717313-Reviews-Las_Bravas-Madrid.html
La Mar,$$ - $$$,4.0,154,Plaza Oriente 6,28013,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d1748510-Reviews-La_Mar-Madrid.html
MOX,$$ - $$$,4.5,29,Corredera Baja de San Pablo 53,28004,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d11978741-Reviews-MOX-Madrid.html
Oviedo Bar Restaurante,$$ - $$$,3.5,164,Paseo Yeserias 45,28005,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d5486617-Reviews-Oviedo_Bar_Restaurante-Madrid.html
Epopolo,$,4.5,15,Calle Apodaca # 6,28004,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d14072955-Reviews-Epopolo-Madrid.html
Egun-On,$$ - $$$,4.0,78,Paseo Zurron 31,28042,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d2041784-Reviews-Egun_On-Madrid.html
Bresca,$,4.5,712,Calle del Tres Peces 20,28012,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d14029364-Reviews-Bresca-Madrid.html
Pokelolo,$$ - $$$,4.5,17,Calle de Nunez de Balboa 35,28001,Madrid,https://www.tripadvisor.com/Restaurant_Review-g187514-d17819049-Reviews-Pokelolo-Madrid.html
