name,Weekly orders
Don Antonio Restaurante,39.0
La Gastro de Chema,39.0
La Tapa Ecologica,39.0
StreetXo,39.0
Grama Arts Club,39.0
Aarde,39.0
Tele Pizza,39.0
Donde Chelo,39.0
Pizzeria Carabancheli,39.0
Indalo Tapas,39.0
Maluvia,38.0
Shisha Restaurant,38.0
Carlos Restaurante,38.0
Bar La Ardilla,38.0
La Empanaderia,38.0
El Mantel,38.0
Antipode,38.0
A tu Salud,38.0
Costa Verde,38.0
Divina Gula,38.0
Bla Bla Bla,38.0
La leyenda de oroquieta,38.0
Kuoco 360 food,38.0
Casa Mono,38.0
Las Tortillas de Gabino,38.0
Raices del Mundo,38.0
BONASERA,38.0
Avelino Rivera Pascual,38.0
Selfie Restaurante Madrid,38.0
Vega,38.0
Retoque,38.0
Restaurante Rincon De Aguacate,38.0
Quinua Bar Restaurante Peruano,38.0
Il Pastaio,38.0
Rincon De Ati,38.0
Restaurante Bolivar,38.0
Viuda de Vacas,38.0
La Malinche,38.0
Kubo King La Latina,38.0
La Felicidad,38.0
Tropicalissima,38.0
Cerveceria Pittu,38.0
Todo Avocado,38.0
KNIGHT'N'SQUIRE,37.0
el secreto del lobo,37.0
Restaurante El Porton,37.0
Restaurante Miss Aris,37.0
Restaurante Canadio,37.0
Restaurante De Prado,37.0
Suite & Tea,37.0
Bulevar,37.0
De Pata Negra,37.0
Abaceria Tapas Lambuzo Conchas,37.0
La Cacharreria,37.0
Atalaya Cafe Restaurante,37.0
Estado Puro,37.0
Maruzzella,37.0
Restaurant UME,37.0
D.O.C.C. Prado,37.0
Brasa Y Lena,37.0
Taberna La Jerezana,37.0
Al Nassim,37.0
La Tipica Bodega El Garnacho,37.0
Meson Lucio,37.0
Julfer,37.0
Arroceria Daniela,37.0
Bar Rato,37.0
Las tres terrazas,37.0
El Perejil Restaurante,37.0
Warehouse,37.0
Wilda,36.0
El Miajon de Los Castuos (Paseo de la Habana 19),36.0
Marcela,36.0
Sax,36.0
Hake Mate,36.0
Restaurante Malecon,36.0
Mandioca,36.0
Living Eat,36.0
Steakburger Arenal,36.0
Vi Cool,36.0
El Parnasillo,36.0
Asador Sidreria Gaztelu,36.0
The Knife Arturo Soria,36.0
Restaurante Morgana,36.0
Eco Bar & Spa,36.0
Soy Kitchen,36.0
Lobito de Mar Madrid,36.0
Cristina Oria Conde de Aranda,36.0
Cafe de la Riviere - Cuesta de San Vicente,36.0
Restaurante Alcobilla,36.0
La Pasa Gin Bar,36.0
La Fabrica Biermuseum,36.0
La Maquina Jorge Juan,36.0
Cinco Jotas Jorge Juan,35.0
Hamburguesa Nostra - Boj,35.0
Rita,35.0
Ole Cabaret,35.0
Restaurante Atocha 107,35.0
Wanda Cafe Optimista,35.0
Tejeteria KnitCafe,35.0
Cerveceria Asador El Trillo,35.0
Vaiven,35.0
Sidreria La Cuenca,35.0
Dolores y Lola,35.0
Lisanti II,35.0
Donde Monica,35.0
Chess Cafe,35.0
Feltman's Hot Dogs,35.0
Sichuan,35.0
Bbig Delice,35.0
Rumbo Norte,35.0
Vila Brasil,35.0
El Escudo de Avila,35.0
Mya Valdalos - Mercado San Miguel,35.0
El Parnasillo Del Principe,35.0
La Castanuela,35.0
Barocco,35.0
Los Quesos de L'Amelie,35.0
ASADOR SAN ISIDRO,35.0
Restaurante Jagger,35.0
Perfil34,35.0
GingerBoy,35.0
Bar Paulo,35.0
Casa Hortensia,35.0
Bicho Bar,35.0
Restaurante More,35.0
El Jalapeno,35.0
La Delicia,35.0
La Encina de Zurbano,35.0
A’Barra,35.0
Beefcious Ensanche De Vallecas,35.0
Restaurante La Vanduca,35.0
El Chiscon,34.0
Restaurante Muxia,34.0
La Casa De Las Brasas,34.0
Juicy Avenue Arturo Soria,34.0
Sotto Cocktail Bar,34.0
Taberna La Espanola,34.0
Los Sauces,34.0
El Cruce,34.0
Abrasame Malasana,34.0
Dry Martini by Javier de Las Muelas,34.0
Hevia,34.0
Meson Las Regiones,34.0
BiBo Madrid,34.0
Salon Cascabel,34.0
Cervecera-Restaurante,34.0
Cantina Del Matadero de Madrid,34.0
Foodtruck,34.0
Casa Benigna,34.0
Realcafe Bernabeu,34.0
Platea Madrid,34.0
Portosin,34.0
La Rebotica de Ponzano,34.0
Taberna Cerveceria Picasso,34.0
GORKI,34.0
Kyoka Lopez de Hoyos,34.0
Tates San Sebastian de Los Reyes,34.0
Taberna Bodegas Ricla,34.0
La Moto De Papa,33.0
Emyfa Arturo Soria,33.0
Palacio Nankin,33.0
La Mancheguita,33.0
Hitch Cafe,33.0
Fuente Deliciosa China,33.0
Mia Pia Genova,33.0
Parrilla El Barril,33.0
El Buchito,33.0
Sciantusi Madrid,33.0
The Ranch,33.0
Cerveceria Ribadeza,33.0
Minchu,33.0
Ganz,33.0
Restaurante La Alternativa,33.0
La Txulapona,33.0
El Kiosko Serrano,33.0
Si Senor,33.0
Arroceria la Esquinita Del Bernabeu,33.0
Zascandil,33.0
Museo del Jamon,33.0
Cerveceria 43,33.0
Le Coco Restobar,33.0
Nitty Gritty,33.0
Restaurante Peregrino,33.0
Xin Chao,33.0
O'Touxeiro,33.0
Vantin,33.0
Centro Riojano,33.0
La Roca Abascal,33.0
Bodega de la Ardosa,33.0
piaopiaobar,33.0
Casa Tia Maria,33.0
Casa Maxi,33.0
Asador Avelino,33.0
La Violeta,33.0
La Buga del Lobo,33.0
Albora,32.0
Restaurante Atrapallada,32.0
Sushi Shop,32.0
Tasca La Farmacia,32.0
La Entreplanta,32.0
La Lola Taller de Brasa,32.0
Casa Felipe,32.0
Josepan,32.0
Izariya Madrid,32.0
Cafe Joyma,32.0
Ataclub Restaurant,32.0
La Esquina Asador Sidreria,32.0
La Esquina de Abascal,32.0
Restaurante Mama Campo,32.0
La casa de Zhou,32.0
Nouba,32.0
Don Oscar,32.0
Restaurante Cerveceria La Badila,32.0
Restaurante Valorio,32.0
Bodega Salvaje,32.0
Taberna Salamanca,32.0
Goiko  C.C. Arturo Soria Plaza,32.0
La Leyenda del Agave,32.0
Las Tapas de Cervantes,32.0
Restaurante Ginger,32.0
La Posada de Coti,32.0
GO! Sushing Carabanchel,32.0
Numa Pompilio Restaurante,32.0
La Manjeria,32.0
Bar Boti,32.0
Inclan Brutal Bar,32.0
Sr.Ito,32.0
Restaurante Ana la Santa,32.0
Frida,32.0
La Buganvilla,31.0
Al Toque,31.0
Panishop,31.0
Venta Matadero,31.0
El Picoteo de Malasana,31.0
Despecho Con Amor,31.0
Topitos Helado y Cafe,31.0
Pena Atletica Legazpi,31.0
La Cocktelera Cafeteria Churreria,31.0
Chiky,31.0
Merimee,31.0
JyJ,31.0
La Piramide,31.0
Muy placer en conserva,31.0
El Pardo,31.0
Beker 6,31.0
La Taperia De Rosa,31.0
Li Ming,31.0
Piccolino della farfalla,31.0
El Figon,31.0
Tutiplen,31.0
Welow Restaurant,31.0
Cerveceria Molson,31.0
Mia Pia Hortaleza,31.0
Peter Rabbit & Friends,31.0
Los Porches,31.0
Federal Cafe Conde Barajas,31.0
Almapra,31.0
Cerveceria Chamberi,31.0
Los Arroces de Segis,31.0
Marisqueria Don Ramon,31.0
La Flor de las Asturias,31.0
La Tierruca del Retiro,31.0
El Cafe de Numancia,31.0
Mama Pizza,31.0
La Parrilla de Rafa,31.0
LA SAETA,31.0
Patong Thai Restaurant,31.0
Tepic,30.0
Convivium Gastrobar,30.0
Bar Justo,30.0
Naomi,30.0
Fulijua,30.0
Lia Madrid Cocktail Boutique,30.0
caffeteria museo Thyssen Bornemisza,30.0
Noname Bar,30.0
Mohammed Muslim Abdullah,30.0
El Hombre Pez Madrid,30.0
Vinos de Bellota,30.0
Le Coq Olavide,30.0
Lan Lan Madrid,30.0
Cafe-Bar Ensanche 71,30.0
Underground by Luca Rodi,30.0
BocaBoca,30.0
El Horoscopo,30.0
La Pequena,30.0
Tinto y Tapas,30.0
Cocina Asiatica Long,30.0
maravillas malasana,30.0
Volcanes,30.0
Best Restaurant,30.0
Komoenkasa,30.0
Tierra de Bellotas,30.0
Restaurante Vargas 83,30.0
La Terraza by La Zamorana,30.0
Las Delicias,30.0
Bar Las Tinajas,30.0
Faborit Velazquez,30.0
Sando,30.0
Meson la peseta,30.0
Cafe Del Clan,30.0
Pampa Beef,30.0
A'Barra Barra Gastronomica,30.0
0% Gluten,30.0
Nuestro Bar,30.0
La Lonjeria,30.0
Iberia VIP Lounges,29.0
Restaurante Anea,29.0
Las Tortas Del Parque,29.0
Altair,29.0
La Boule Bistro Cafe,29.0
Sabor Brasil,29.0
Santa Sierra,29.0
La tabarna de abajo,29.0
Portobello (Rosario Pino),29.0
Gastrotaberna Juanes,29.0
Cappuccino Madrid,29.0
Mandela 100,29.0
La Sanabresa,29.0
Toga,29.0
AlmaZen Izakaya,29.0
El Pilar,29.0
Cafeteria Restaurante Andujar,29.0
Izana,29.0
Jimbo Smokehouse,29.0
LaTosKa,29.0
El Valle Hermoso,29.0
Jordan Gala Restaurante Cafe Bar,29.0
Zenith Brunch & Cocktails,29.0
La Reina del Quinche,29.0
La Mas Rica De Chamberi,29.0
Restaurante Roda,29.0
Taberna La Carmencita,29.0
Casa Botias,29.0
Entre Santos Madrid,29.0
Agave,29.0
Zalacain,29.0
El Olivar de Castillejo,29.0
L'Albufera Restaurante,29.0
Las Bovedas de Cibeles,29.0
Bar Restaurante Bongo Nancy,29.0
Cafeteria Jara,29.0
La Vegana,29.0
Buns,29.0
Restaurante Juka II,29.0
Barhop,29.0
La Catedral,29.0
Mino Restaurante,29.0
Ox's,29.0
Casa Castello,28.0
Orbayo,28.0
Makkila Nunez de Balboa,28.0
Poke Okey,28.0
Urrechu Velazquez,28.0
La Armonia,28.0
Taberna de la Daniela Bernabeu,28.0
Petisqueira 2,28.0
Gin Tonic Bar La Ruleta,28.0
Empanaderia china de panda,28.0
Lateral Castellana 42,28.0
La Sal Del Mentidero,28.0
Cerveceria Santa Ana,28.0
Burger Kas Moratalaz,28.0
restaurante cafeteria El Anden,28.0
Chapela Tienda&Cafe,28.0
El Cogollo de la Descarga,28.0
Surtopia,28.0
Mutte,28.0
El Cafe de los Artistas,28.0
"Restaurante la Pimienta, Cafe-Bar",28.0
Kabuki,28.0
Terra Das Meigas,28.0
La Urraca,28.0
Pizzeria Arezzo,28.0
Verdejo,28.0
Faborit Goya 24,28.0
Lion,28.0
Morao Tapas Paseo de la Castellana,28.0
Tres Bocas,28.0
O'pulpo,28.0
Napoleno,28.0
Las Murallas,28.0
Don Carlos,28.0
La Bellota Sabores Ibericos,28.0
Ruta de Las Hurdes,28.0
Restaurante Malvar,28.0
Bar Los Gutis,28.0
Lateral Fleming,28.0
Bucca,28.0
Pinchos Elcano,28.0
Varsovia,28.0
Mareas Vajas,28.0
Denay Coffee Bar,28.0
Pi'Oro Pasteleria Artesana,28.0
La Churrasquita Fuentelareyna,28.0
La Berbena,28.0
La Albahaca,28.0
Taberna la Ilustracion,28.0
Restaurante El Conquistador,28.0
Kuc place to be,28.0
El Festejo,28.0
Officina 22,28.0
Jleos Cocina Med Mex,28.0
Restaurante Hilos,28.0
Bomboneria Santa,28.0
Terraviva,28.0
Cocina Asiatica Go,28.0
Euro Doner Istambul,28.0
La chula de chamberi,28.0
La Madrina,28.0
Enklima,28.0
Paraiso del Jamon,28.0
La Castela,27.0
Virgen del Cisne,27.0
Wellies Madrid,27.0
Fratelli d'italia Lavapies,27.0
la Taperia del Prado,27.0
La Frasca,27.0
Larrauri,27.0
Meson de la Guitarra,27.0
Restaurante Baako,27.0
La Taberna Del Pintor,27.0
Mi Wok,27.0
Suchil 15,27.0
Bar Hermanos Jimenez,27.0
DeAtun Velazquez,27.0
Delikatia,27.0
Babelia Cafe,27.0
Chicote El Corte Ingles,27.0
Fuego Restaurante,27.0
Gourmet Experience Serrano,27.0
Bovia del Viso,27.0
Dona Taberna,27.0
Kooby Brochettes,27.0
El Mandela,27.0
Delicias Mil,27.0
Bar Tomate,27.0
La Esquina de Eusebio,27.0
Cascanueces,27.0
Cafeteria Jecar,27.0
Restaurante Los Galeones,27.0
Cerveceria El Puerto,27.0
Restaurante El Cortijo,27.0
Albahia,27.0
Don Eusebio,27.0
Restaurante Gonzalo,27.0
Sibuya Urban Sushi Bar Chueca,27.0
Graffiti Moncloa,27.0
Nacho's,27.0
Bar Juan,27.0
Oveja Que Bala.....,27.0
O'Pazo,27.0
izakaya Han,27.0
Bombay Blue - Indian Restaurant,27.0
La Abadia,27.0
Sacha,27.0
